end of batch....0, cost so far 15356
end of batch....1, cost so far 12905
end of batch....2, cost so far 11766
end of batch....3, cost so far 11766
end of batch....4, cost so far 10885
end of batch....5, cost so far 10885
end of batch....6, cost so far 10157
end of batch....7, cost so far 10157
end of batch....8, cost so far 9503
end of batch....9, cost so far 9503
end of batch....10, cost so far 9437
end of batch....11, cost so far 9437
end of batch....12, cost so far 9437
end of batch....13, cost so far 9437
end of batch....14, cost so far 8267
end of batch....15, cost so far 8232
end of batch....16, cost so far 8232
end of batch....17, cost so far 8232
end of batch....18, cost so far 8232
end of batch....19, cost so far 8232
end of batch....20, cost so far 8232
end of batch....21, cost so far 8232
end of batch....22, cost so far 8232
end of batch....23, cost so far 8232
end of batch....24, cost so far 8232
end of batch....25, cost so far 8232
end of batch....26, cost so far 8232
end of batch....27, cost so far 8232
end of batch....28, cost so far 8232
end of batch....29, cost so far 7659
end of batch....30, cost so far 7290
end of batch....31, cost so far 7290
end of batch....32, cost so far 7290
end of batch....33, cost so far 7290
end of batch....34, cost so far 7290
end of batch....35, cost so far 7205
end of batch....36, cost so far 7205
end of batch....37, cost so far 7205
end of batch....38, cost so far 7095
end of batch....39, cost so far 7095
end of batch....40, cost so far 7095
end of batch....41, cost so far 7095
end of batch....42, cost so far 7095
end of batch....43, cost so far 7095
end of batch....44, cost so far 7095
end of batch....45, cost so far 6971
end of batch....46, cost so far 6828
end of batch....47, cost so far 6828
end of batch....48, cost so far 6828
end of batch....49, cost so far 6828
end of batch....50, cost so far 6828
end of batch....51, cost so far 6828
end of batch....52, cost so far 6828
end of batch....53, cost so far 6828
end of batch....54, cost so far 6828
end of batch....55, cost so far 6788
end of batch....56, cost so far 6788
end of batch....57, cost so far 6788
end of batch....58, cost so far 6788
end of batch....59, cost so far 6788
end of batch....60, cost so far 6788
end of batch....61, cost so far 6788
end of batch....62, cost so far 6788
end of batch....63, cost so far 6788
end of batch....64, cost so far 6788
end of batch....65, cost so far 6788
end of batch....66, cost so far 6788
end of batch....67, cost so far 6788
end of batch....68, cost so far 6788
end of batch....69, cost so far 6788
end of batch....70, cost so far 6788
end of batch....71, cost so far 6788
end of batch....72, cost so far 6788
end of batch....73, cost so far 6788
end of batch....74, cost so far 6788
end of batch....75, cost so far 6788
end of batch....76, cost so far 6788
end of batch....77, cost so far 6788
end of batch....78, cost so far 6788
end of batch....79, cost so far 6788
end of batch....80, cost so far 6788
end of batch....81, cost so far 6788
end of batch....82, cost so far 6788
end of batch....83, cost so far 6788
end of batch....84, cost so far 6788
end of batch....85, cost so far 6788
end of batch....86, cost so far 6788
end of batch....87, cost so far 6788
end of batch....88, cost so far 6788
end of batch....89, cost so far 6711
end of batch....90, cost so far 6711
end of batch....91, cost so far 6711
end of batch....92, cost so far 6711
end of batch....93, cost so far 6711
end of batch....94, cost so far 6711
end of batch....95, cost so far 6711
end of batch....96, cost so far 6711
end of batch....97, cost so far 6711
end of batch....98, cost so far 6711
end of batch....99, cost so far 6711
end of batch....100, cost so far 6711
end of batch....101, cost so far 6711
end of batch....102, cost so far 6711
end of batch....103, cost so far 6711
end of batch....104, cost so far 6711
end of batch....105, cost so far 6681
end of batch....106, cost so far 6681
end of batch....107, cost so far 6681
end of batch....108, cost so far 6681
end of batch....109, cost so far 6681
end of batch....110, cost so far 6681
end of batch....111, cost so far 6681
end of batch....112, cost so far 6681
end of batch....113, cost so far 6681
end of batch....114, cost so far 6681
end of batch....115, cost so far 6681
end of batch....116, cost so far 6681
end of batch....117, cost so far 6681
end of batch....118, cost so far 6681
end of batch....119, cost so far 6681
end of batch....120, cost so far 6681
end of batch....121, cost so far 6681
end of batch....122, cost so far 6681
end of batch....123, cost so far 6681
end of batch....124, cost so far 6681
end of batch....125, cost so far 6642
end of batch....126, cost so far 6642
end of batch....127, cost so far 6642
end of batch....128, cost so far 6642
end of batch....129, cost so far 6642
end of batch....130, cost so far 6642
end of batch....131, cost so far 6642
end of batch....132, cost so far 6642
end of batch....133, cost so far 6642
end of batch....134, cost so far 6642
end of batch....135, cost so far 6642
end of batch....136, cost so far 6642
end of batch....137, cost so far 6642
end of batch....138, cost so far 6642
end of batch....139, cost so far 6642
end of batch....140, cost so far 6642
end of batch....141, cost so far 6642
end of batch....142, cost so far 6642
end of batch....143, cost so far 6642
end of batch....144, cost so far 6642
end of batch....145, cost so far 6642
end of batch....146, cost so far 6642
end of batch....147, cost so far 6642
end of batch....148, cost so far 6642
end of batch....149, cost so far 6642
end of batch....150, cost so far 6642
end of batch....151, cost so far 6642
end of batch....152, cost so far 6642
end of batch....153, cost so far 6642
end of batch....154, cost so far 6642
end of batch....155, cost so far 6642
end of batch....156, cost so far 6642
end of batch....157, cost so far 6642
end of batch....158, cost so far 6642
end of batch....159, cost so far 6642
end of batch....160, cost so far 6642
end of batch....161, cost so far 6642
end of batch....162, cost so far 6642
end of batch....163, cost so far 6642
end of batch....164, cost so far 6642
end of batch....165, cost so far 6642
end of batch....166, cost so far 6642
end of batch....167, cost so far 6642
end of batch....168, cost so far 6642
end of batch....169, cost so far 6642
end of batch....170, cost so far 6642
end of batch....171, cost so far 6642
end of batch....172, cost so far 6642
end of batch....173, cost so far 6642
end of batch....174, cost so far 6642
end of batch....175, cost so far 6642
end of batch....176, cost so far 6642
end of batch....177, cost so far 6642
end of batch....178, cost so far 6642
end of batch....179, cost so far 6642
end of batch....180, cost so far 6642
end of batch....181, cost so far 6642
end of batch....182, cost so far 6642
end of batch....183, cost so far 6642
end of batch....184, cost so far 6642
end of batch....185, cost so far 6642
end of batch....186, cost so far 6642
end of batch....187, cost so far 6642
end of batch....188, cost so far 6642
end of batch....189, cost so far 6642
end of batch....190, cost so far 6642
end of batch....191, cost so far 6642
end of batch....192, cost so far 6642
end of batch....193, cost so far 6642
end of batch....194, cost so far 6642
end of batch....195, cost so far 6642
end of batch....196, cost so far 6642
end of batch....197, cost so far 6642
end of batch....198, cost so far 6642
end of batch....199, cost so far 6642
end of batch....200, cost so far 6642
end of batch....201, cost so far 6642
end of batch....202, cost so far 6642
end of batch....203, cost so far 6642
end of batch....204, cost so far 6642
end of batch....205, cost so far 6642
end of batch....206, cost so far 6642
end of batch....207, cost so far 6642
end of batch....208, cost so far 6642
end of batch....209, cost so far 6642
end of batch....210, cost so far 6642
end of batch....211, cost so far 6642
end of batch....212, cost so far 6642
end of batch....213, cost so far 6642
end of batch....214, cost so far 6642
end of batch....215, cost so far 6642
end of batch....216, cost so far 6642
end of batch....217, cost so far 6642
end of batch....218, cost so far 6642
end of batch....219, cost so far 6642
end of batch....220, cost so far 6642
end of batch....221, cost so far 6642
end of batch....222, cost so far 6642
end of batch....223, cost so far 6642
end of batch....224, cost so far 6642
end of batch....225, cost so far 6642
end of batch....226, cost so far 6642
end of batch....227, cost so far 6642
end of batch....228, cost so far 6642
end of batch....229, cost so far 6642
end of batch....230, cost so far 6642
end of batch....231, cost so far 6642
end of batch....232, cost so far 6642
end of batch....233, cost so far 6642
end of batch....234, cost so far 6642
end of batch....235, cost so far 6642
end of batch....236, cost so far 6642
end of batch....237, cost so far 6642
end of batch....238, cost so far 6642
end of batch....239, cost so far 6642
end of batch....240, cost so far 6642
end of batch....241, cost so far 6642
end of batch....242, cost so far 6642
end of batch....243, cost so far 6642
end of batch....244, cost so far 6642
end of batch....245, cost so far 6642
end of batch....246, cost so far 6642
end of batch....247, cost so far 6642
end of batch....248, cost so far 6642
end of batch....249, cost so far 6642
end of batch....250, cost so far 6642
end of batch....251, cost so far 6642
end of batch....252, cost so far 6642
end of batch....253, cost so far 6642
end of batch....254, cost so far 6642
end of batch....255, cost so far 6642
end of batch....256, cost so far 6642
end of batch....257, cost so far 6642
end of batch....258, cost so far 6642
end of batch....259, cost so far 6642
end of batch....260, cost so far 6642
end of batch....261, cost so far 6642
end of batch....262, cost so far 6642
end of batch....263, cost so far 6642
end of batch....264, cost so far 6642
end of batch....265, cost so far 6642
end of batch....266, cost so far 6642
end of batch....267, cost so far 6642
end of batch....268, cost so far 6642
end of batch....269, cost so far 6642
end of batch....270, cost so far 6642
end of batch....271, cost so far 6642
end of batch....272, cost so far 6642
end of batch....273, cost so far 6642
end of batch....274, cost so far 6642
end of batch....275, cost so far 6642
end of batch....276, cost so far 6642
end of batch....277, cost so far 6642
end of batch....278, cost so far 6642
end of batch....279, cost so far 6642
end of batch....280, cost so far 6642
end of batch....281, cost so far 6642
end of batch....282, cost so far 6642
end of batch....283, cost so far 6642
end of batch....284, cost so far 6642
end of batch....285, cost so far 6642
end of batch....286, cost so far 6642
end of batch....287, cost so far 6642
end of batch....288, cost so far 6642
end of batch....289, cost so far 6642
end of batch....290, cost so far 6642
end of batch....291, cost so far 6642
end of batch....292, cost so far 6642
end of batch....293, cost so far 6642
end of batch....294, cost so far 6642
end of batch....295, cost so far 6642
end of batch....296, cost so far 6642
end of batch....297, cost so far 6642
end of batch....298, cost so far 6642
end of batch....299, cost so far 6642
end of batch....300, cost so far 6642
end of batch....301, cost so far 6642
end of batch....302, cost so far 6642
end of batch....303, cost so far 6642
end of batch....304, cost so far 6642
end of batch....305, cost so far 6642
end of batch....306, cost so far 6642
end of batch....307, cost so far 6642
end of batch....308, cost so far 6642
end of batch....309, cost so far 6642
end of batch....310, cost so far 6642
end of batch....311, cost so far 6642
end of batch....312, cost so far 6642
end of batch....313, cost so far 6642
end of batch....314, cost so far 6642
end of batch....315, cost so far 6642
end of batch....316, cost so far 6642
end of batch....317, cost so far 6642
end of batch....318, cost so far 6642
end of batch....319, cost so far 6642
end of batch....320, cost so far 6642
end of batch....321, cost so far 6642
end of batch....322, cost so far 6642
end of batch....323, cost so far 6642
end of batch....324, cost so far 6642
end of batch....325, cost so far 6642
end of batch....326, cost so far 6642
end of batch....327, cost so far 6642
end of batch....328, cost so far 6642
