end of batch....0, cost so far 13908
end of batch....1, cost so far 13908
end of batch....2, cost so far 13908
end of batch....3, cost so far 13908
end of batch....4, cost so far 13908
end of batch....5, cost so far 13908
end of batch....6, cost so far 13908
end of batch....7, cost so far 13908
end of batch....8, cost so far 13908
end of batch....9, cost so far 13908
end of batch....10, cost so far 13908
end of batch....11, cost so far 13908
end of batch....12, cost so far 13908
end of batch....13, cost so far 13908
end of batch....14, cost so far 13908
end of batch....15, cost so far 13908
end of batch....16, cost so far 13908
end of batch....17, cost so far 13908
end of batch....18, cost so far 13908
end of batch....19, cost so far 13908
end of batch....20, cost so far 13908
end of batch....21, cost so far 13908
end of batch....22, cost so far 13908
end of batch....23, cost so far 13908
end of batch....24, cost so far 13908
end of batch....25, cost so far 13908
end of batch....26, cost so far 13908
end of batch....27, cost so far 13908
end of batch....28, cost so far 13908
end of batch....29, cost so far 13908
end of batch....30, cost so far 13908
end of batch....31, cost so far 13908
end of batch....32, cost so far 13908
end of batch....33, cost so far 13908
end of batch....34, cost so far 13908
end of batch....35, cost so far 13908
end of batch....36, cost so far 13908
end of batch....37, cost so far 13908
end of batch....38, cost so far 13908
end of batch....39, cost so far 13908
end of batch....40, cost so far 13908
end of batch....41, cost so far 13908
end of batch....42, cost so far 13908
end of batch....43, cost so far 13908
end of batch....44, cost so far 13908
end of batch....45, cost so far 13908
end of batch....46, cost so far 13908
end of batch....47, cost so far 13908
end of batch....48, cost so far 13908
end of batch....49, cost so far 13908
end of batch....50, cost so far 13908
end of batch....51, cost so far 13908
end of batch....52, cost so far 13908
end of batch....53, cost so far 13908
end of batch....54, cost so far 13908
end of batch....55, cost so far 13908
end of batch....56, cost so far 13908
end of batch....57, cost so far 13908
end of batch....58, cost so far 13908
end of batch....59, cost so far 13908
end of batch....60, cost so far 13908
end of batch....61, cost so far 13908
end of batch....62, cost so far 13908
end of batch....63, cost so far 13908
end of batch....64, cost so far 13908
end of batch....65, cost so far 13908
end of batch....66, cost so far 13908
end of batch....67, cost so far 13908
end of batch....68, cost so far 13908
end of batch....69, cost so far 13908
end of batch....70, cost so far 13908
end of batch....71, cost so far 13908
end of batch....72, cost so far 13908
end of batch....73, cost so far 13908
end of batch....74, cost so far 13908
end of batch....75, cost so far 13908
