end of batch....0, cost so far 4560
end of batch....1, cost so far 3006
end of batch....2, cost so far 2584
end of batch....3, cost so far 2208
end of batch....4, cost so far 2201
end of batch....5, cost so far 2201
end of batch....6, cost so far 2201
end of batch....7, cost so far 2084
end of batch....8, cost so far 1937
end of batch....9, cost so far 1856
end of batch....10, cost so far 1856
end of batch....11, cost so far 1856
end of batch....12, cost so far 1760
end of batch....13, cost so far 1760
end of batch....14, cost so far 1760
end of batch....15, cost so far 1760
end of batch....16, cost so far 1760
end of batch....17, cost so far 1760
end of batch....18, cost so far 1760
end of batch....19, cost so far 1760
end of batch....20, cost so far 1731
end of batch....21, cost so far 1731
end of batch....22, cost so far 1731
end of batch....23, cost so far 1731
end of batch....24, cost so far 1731
end of batch....25, cost so far 1731
end of batch....26, cost so far 1731
end of batch....27, cost so far 1731
end of batch....28, cost so far 1731
end of batch....29, cost so far 1727
end of batch....30, cost so far 1727
end of batch....31, cost so far 1727
end of batch....32, cost so far 1721
end of batch....33, cost so far 1719
end of batch....34, cost so far 1655
end of batch....35, cost so far 1655
end of batch....36, cost so far 1655
end of batch....37, cost so far 1612
end of batch....38, cost so far 1612
end of batch....39, cost so far 1612
end of batch....40, cost so far 1612
end of batch....41, cost so far 1612
end of batch....42, cost so far 1612
end of batch....43, cost so far 1612
end of batch....44, cost so far 1612
end of batch....45, cost so far 1612
end of batch....46, cost so far 1612
end of batch....47, cost so far 1612
end of batch....48, cost so far 1612
end of batch....49, cost so far 1612
end of batch....50, cost so far 1612
end of batch....51, cost so far 1612
end of batch....52, cost so far 1612
end of batch....53, cost so far 1612
end of batch....54, cost so far 1612
end of batch....55, cost so far 1612
end of batch....56, cost so far 1612
end of batch....57, cost so far 1612
end of batch....58, cost so far 1612
end of batch....59, cost so far 1612
end of batch....60, cost so far 1612
end of batch....61, cost so far 1612
end of batch....62, cost so far 1612
end of batch....63, cost so far 1570
end of batch....64, cost so far 1570
end of batch....65, cost so far 1570
end of batch....66, cost so far 1570
end of batch....67, cost so far 1570
end of batch....68, cost so far 1570
end of batch....69, cost so far 1570
end of batch....70, cost so far 1570
end of batch....71, cost so far 1570
end of batch....72, cost so far 1570
end of batch....73, cost so far 1570
end of batch....74, cost so far 1570
end of batch....75, cost so far 1570
end of batch....76, cost so far 1570
end of batch....77, cost so far 1570
end of batch....78, cost so far 1570
end of batch....79, cost so far 1570
end of batch....80, cost so far 1570
end of batch....81, cost so far 1570
end of batch....82, cost so far 1570
end of batch....83, cost so far 1570
end of batch....84, cost so far 1570
end of batch....85, cost so far 1570
end of batch....86, cost so far 1570
end of batch....87, cost so far 1570
end of batch....88, cost so far 1570
end of batch....89, cost so far 1570
end of batch....90, cost so far 1570
end of batch....91, cost so far 1570
end of batch....92, cost so far 1570
end of batch....93, cost so far 1570
end of batch....94, cost so far 1570
end of batch....95, cost so far 1570
end of batch....96, cost so far 1570
end of batch....97, cost so far 1570
end of batch....98, cost so far 1570
end of batch....99, cost so far 1570
end of batch....100, cost so far 1570
end of batch....101, cost so far 1570
end of batch....102, cost so far 1570
end of batch....103, cost so far 1570
end of batch....104, cost so far 1570
end of batch....105, cost so far 1570
end of batch....106, cost so far 1570
end of batch....107, cost so far 1570
end of batch....108, cost so far 1570
end of batch....109, cost so far 1570
end of batch....110, cost so far 1570
end of batch....111, cost so far 1570
end of batch....112, cost so far 1570
end of batch....113, cost so far 1570
end of batch....114, cost so far 1570
end of batch....115, cost so far 1570
end of batch....116, cost so far 1570
end of batch....117, cost so far 1570
end of batch....118, cost so far 1570
end of batch....119, cost so far 1570
end of batch....120, cost so far 1570
end of batch....121, cost so far 1570
end of batch....122, cost so far 1570
end of batch....123, cost so far 1570
end of batch....124, cost so far 1570
end of batch....125, cost so far 1570
end of batch....126, cost so far 1570
end of batch....127, cost so far 1570
end of batch....128, cost so far 1570
end of batch....129, cost so far 1570
end of batch....130, cost so far 1570
end of batch....131, cost so far 1570
end of batch....132, cost so far 1570
end of batch....133, cost so far 1570
end of batch....134, cost so far 1570
end of batch....135, cost so far 1570
end of batch....136, cost so far 1553
end of batch....137, cost so far 1553
end of batch....138, cost so far 1553
end of batch....139, cost so far 1553
end of batch....140, cost so far 1553
end of batch....141, cost so far 1553
end of batch....142, cost so far 1553
end of batch....143, cost so far 1553
end of batch....144, cost so far 1553
end of batch....145, cost so far 1553
end of batch....146, cost so far 1553
end of batch....147, cost so far 1553
end of batch....148, cost so far 1553
end of batch....149, cost so far 1553
end of batch....150, cost so far 1553
end of batch....151, cost so far 1553
