# cilkview format version, 1
# n workers, weighted parallelism, trials, speedup, ideal parallelism
1, 1., , , 1.260161
2, 0.851414, , , 1.260161
3, 0.811234, , , 1.260161
4, 0.792534, , , 1.260161
5, 0.781722, , , 1.260161
6, 0.774676, , , 1.260161
7, 0.769721, , , 1.260161
8, 0.766046, , , 1.260161
9, 0.763212, , , 1.260161
10, 0.760959, , , 1.260161
11, 0.759126, , , 1.260161
12, 0.757606, , , 1.260161
13, 0.756324, , , 1.260161
14, 0.755228, , , 1.260161
15, 0.754281, , , 1.260161
16, 0.753455, , , 1.260161
