# cilkview format version, 1
# n workers, weighted parallelism, trials, speedup, ideal parallelism
1, 1., , , 2.228039
2, 1.134428, , , 2.228039
3, 1.187646, , , 2.228039
4, 1.216172, , , 2.228039
5, 1.233955, , , 2.228039
6, 1.246102, , , 2.228039
7, 1.254926, , , 2.228039
8, 1.261627, , , 2.228039
9, 1.266888, , , 2.228039
10, 1.271128, , , 2.228039
11, 1.274619, , , 2.228039
12, 1.277543, , , 2.228039
13, 1.280027, , , 2.228039
14, 1.282164, , , 2.228039
15, 1.284022, , , 2.228039
16, 1.285652, , , 2.228039
